"","Phase","adj_loc","sample_date","influent_composition","broad_location","location_code_orig","batch_end_or_start","batch_sample_date","temp_C","total_Cl2_mg.L","free_Cl2_mg.L"
"1","Phase 1","advanced blend loops",2017-11-27,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Batch_Start",2017-11-30,18.7,0.61,0
"2","Phase 2","advanced blend loops",2018-02-23,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Batch_Start",2018-02-27,12.1,0.78,0
"3","Phase 2","advanced blend loops",2018-02-09,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Batch_Start",2018-02-12,17.8,0.8,0
"4","Phase 2","transition loops (Phase 2)",2018-02-23,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Batch_Start",2018-02-27,12.7,0.83,0
"5","Phase 1","transition loops (Phase 1)",2017-11-27,"100% conventional","Pipe_Loop","Loop_1","Batch_Start",2017-11-30,17.9,0.85,0
"6","Phase 1","transition loops (Phase 1)",2017-11-27,"100% conventional","Pipe_Loop","Loop_2","Batch_Start",2017-11-30,17.6,0.86,0
"7","Phase 2","advanced blend loops",2018-02-01,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Batch_Start",2018-02-05,19.6,0.86,0
"8","Phase 2","advanced blend loops",2018-02-23,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Batch_Start",2018-02-27,11.9,0.86,0
"9","Phase 1","advanced blend loops",2017-12-04,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Batch_Start",2017-12-07,18,0.97,0
"10","Phase 1","advanced blend loops",2017-12-04,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Batch_Start",2017-12-07,18.1,1.02,0
"11","Phase 1","advanced blend loops",2017-11-20,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Batch_Start",2017-11-27,19.6,1.23,0
"12","Phase 2","advanced feedwater",2018-03-22,"100% advanced","Pipe_Loop","advanced_feed","Batch_Start",2018-03-26,17.7,0.01,0.01
"13","Phase 2","advanced blend loops",2018-03-08,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Batch_Start",2018-03-12,17.9,0.56,0.01
"14","Phase 2","advanced blend loops",2018-03-22,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Batch_Start",2018-03-26,18.3,0.58,0.01
"16","Phase 2","advanced blend loops",2018-01-18,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Batch_Start",2018-01-22,19.4,0.77,0.01
"17","Phase 2","advanced blend loops",2018-02-12,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Batch_Start",2018-02-15,16.5,0.77,0.01
"33","Phase 2","transition loops (Phase 2)",2018-03-12,"90% advanced
10% conventional","Pipe_Loop","Loop_1","Batch_Start",2018-03-15,18.4,0.31,0.02
"34","Phase 2","transition loops (Phase 2)",2018-03-22,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Batch_Start",2018-03-26,18.5,0.57,0.02
"35","Phase 2","advanced blend loops",2018-03-22,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Batch_Start",2018-03-26,18.3,0.57,0.02
"36","Phase 2","transition loops (Phase 2)",2018-03-22,"90% advanced
10% conventional","Pipe_Loop","Loop_1","Batch_Start",2018-03-26,18.2,0.58,0.02
"37","Phase 2","advanced blend loops",2018-03-01,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Batch_Start",2018-03-05,13.4,0.68,0.02
"38","Phase 2","transition loops (Phase 2)",2018-02-12,"90% advanced
10% conventional","Pipe_Loop","Loop_1","Batch_Start",2018-02-15,16.3,0.68,0.02
"40","Phase 2","transition loops (Phase 2)",2018-02-12,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Batch_Start",2018-02-15,16.4,0.72,0.02
"41","Phase 2","transition loops (Phase 2)",2018-02-05,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Batch_Start",2018-02-09,21.4,0.77,0.02
"42","Phase 2","advanced blend loops",2018-02-01,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Batch_Start",2018-02-05,20.1,0.79,0.02
"43","Phase 2","transition loops (Phase 2)",2018-02-19,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Batch_Start",2018-02-23,14.3,0.79,0.02
"44","Phase 2","advanced blend loops",2018-02-05,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Batch_Start",2018-02-09,19.3,0.81,0.02
"45","Phase 2","transition loops (Phase 2)",2018-02-01,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Batch_Start",2018-02-05,21,0.82,0.02
"46","Phase 2","transition loops (Phase 2)",2018-02-05,"90% advanced
10% conventional","Pipe_Loop","Loop_1","Batch_Start",2018-02-09,18.5,0.83,0.02
"47","Phase 2","advanced blend loops",2018-02-05,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Batch_Start",2018-02-09,18.6,0.85,0.02
"48","Phase 2","transition loops (Phase 2)",2018-01-25,"90% advanced
10% conventional","Pipe_Loop","Loop_1","Batch_Start",2018-01-29,15.7,0.89,0.02
"49","Phase 2","transition loops (Phase 2)",2018-01-25,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Batch_Start",2018-01-29,17.4,0.9,0.02
"52","Phase 2","advanced blend loops",2018-02-15,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Batch_Start",2018-02-19,17.9,0.96,0.02
