,Phase,adj_loc,sample_date,influent_composition,sample_type,location_code_orig,batch_end_or_start,biofilm_area_collected_cm2,total_ATP_gmean_nM,total_ATP_gstd_nM,extra_ATP_gmean_nM,extra_ATP_gstd_nM,intra_ATP_gmean_nM,intra_ATP_gstd_nM,total_ATP_gmean_ng_cm2,total_ATP_gstd_ng_cm2,extra_ATP_gmean_ng_cm2,extra_ATP_gstd_ng_cm2,intra_ATP_gmean_ng_cm2,intra_ATP_gstd_ng_cm2,total_ATP_gmean_nM_MDL,intra_ATP_gmean_nM_MDL,total_ATP_gmean_ng_cm2_MDL,intra_ATP_gmean_ng_cm2_MDL
110,Phase 1,advanced feedwater,11/2/17,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.012560168,1.025901063,0.001579065,1.019380506,0.010981103,1.446239817,NA,NA,NA,NA,NA,NA,0.012560168,0.010981103,NA,NA
357,Phase 1,advanced feedwater,11/6/17,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.023567836,1.128786728,0.000222628,1.14353365,0.023345208,1.606806984,NA,NA,NA,NA,NA,NA,0.023567836,0.023345208,NA,NA
314,Phase 1,advanced feedwater,11/9/17,100% advanced,bulkwater,advanced_feed,Between_Batch,NA,0.047634822,1.100801055,0.002894564,1.074925626,0.044740258,1.538579885,NA,NA,NA,NA,NA,NA,0.047634822,0.044740258,NA,NA
222,Phase 1,advanced feedwater,11/13/17,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.022967114,1.059908931,0.0010473,1.034299559,0.021919814,1.480939742,NA,NA,NA,NA,NA,NA,0.022967114,0.021919814,NA,NA
329,Phase 1,advanced feedwater,11/20/17,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.045856168,1.038584847,0.000542582,1.089555422,0.045313586,1.505253966,NA,NA,NA,NA,NA,NA,0.045856168,0.045313586,NA,NA
316,Phase 1,advanced feedwater,11/27/17,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.173645807,1.019757772,0.003406438,1.078816764,0.170239369,1.484503798,NA,NA,NA,NA,NA,NA,0.173645807,0.170239369,NA,NA
39,Phase 1,advanced feedwater,12/4/17,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.115268662,1.031111293,0.000630471,1.008381045,0.114638191,1.442228425,NA,NA,NA,NA,NA,NA,0.115268662,0.114638191,NA,NA
307,Phase 1,advanced feedwater,12/7/17,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.087980832,1.03596006,0.001771033,1.079087239,0.086209799,1.495875167,NA,NA,NA,NA,NA,NA,0.087980832,0.086209799,NA,NA
389,Phase 1,advanced feedwater,12/11/17,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.093844126,1.034946927,0.001046721,1.249653242,0.092797405,1.62257461,NA,NA,NA,NA,NA,NA,0.093844126,0.092797405,NA,NA
304,Phase 1,advanced feedwater,12/18/17,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.052807794,1.047545821,0.000890396,1.074656091,0.051917399,1.500745801,NA,NA,NA,NA,NA,NA,0.052807794,0.051917399,NA,NA
386,Phase 1,advanced feedwater,1/1/18,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.177003599,1.018931467,0.001545607,1.210580617,0.175457992,1.582316897,NA,NA,NA,NA,NA,NA,0.177003599,0.175457992,NA,NA
203,Phase 2,advanced feedwater,1/8/18,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.838660488,1.094766809,0.000636763,1.03044441,0.838023725,1.503439406,NA,NA,NA,NA,NA,NA,0.838660488,0.838023725,NA,NA
535,Phase 2,advanced feedwater,1/15/18,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.073644577,1.127724495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073644577,NA,NA,NA
97,Phase 2,advanced feedwater,1/29/18,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.046442966,1.059576591,0.000555849,1.014799512,0.045887117,1.467147096,NA,NA,NA,NA,NA,NA,0.046442966,0.045887117,NA,NA
388,Phase 2,advanced feedwater,1/31/18,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.052394939,1.012926848,0.000592458,1.212694583,0.051802481,1.58007878,NA,NA,NA,NA,NA,NA,0.052394939,0.051802481,NA,NA
141,Phase 2,advanced feedwater,2/4/18,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.106282978,1.083637444,0.000904273,1.020252816,0.105378704,1.488350066,NA,NA,NA,NA,NA,NA,0.106282978,0.105378704,NA,NA
87,Phase 2,advanced feedwater,2/15/18,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.084303008,1.02940001,0.001795351,1.019683223,0.082507658,1.44893694,NA,NA,NA,NA,NA,NA,0.084303008,0.082507658,NA,NA
327,Phase 2,advanced feedwater,2/19/18,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.047109723,1.234463858,0.000399619,1.092053765,0.046710104,1.648175489,NA,NA,NA,NA,NA,NA,0.047109723,0.046710104,NA,NA
359,Phase 2,advanced feedwater,3/1/18,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.093893254,1.052738423,0.001222681,1.125216653,0.092670573,1.540899317,NA,NA,NA,NA,NA,NA,0.093893254,0.092670573,NA,NA
403,Phase 2,advanced feedwater,3/5/18,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.103182312,1.108883703,0.000212972,1.417003754,0.10296934,1.799311731,NA,NA,NA,NA,NA,NA,0.103182312,0.10296934,NA,NA
372,Phase 2,advanced feedwater,3/12/18,100% advanced,bulkwater,advanced_feed,Batch_End,NA,0.06609984,1.028840342,0.000656271,1.144430205,0.065443568,1.538906412,NA,NA,NA,NA,NA,NA,0.06609984,0.065443568,NA,NA
