,Phase,adj_loc,sample_date,influent_composition,sample_type,location_code_orig,broad_location,batch_end_or_start,ICC_to_TCC,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,assay
390,Phase 1,advanced feedwater,10/23/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.928315063,243969.565,1.03948764,TCC
5,NA,RO permeate,12/14/17,not applicable,bulkwater_grab,RO_3stage,AWTP_2,NA,0.714069819,97.7505238,1.17632702,TCC
6,NA,RO permeate,10/10/17,not applicable,bulkwater_grab,RO_2stage,AWTP_2,NA,0.935399073,100.217394,1.46823078,TCC
7,NA,RO permeate,11/7/17,not applicable,bulkwater_grab,RO_2stage,AWTP_2,NA,0.615697477,104.894206,1.52018147,TCC
392,Phase 1,conventional feedwater,10/23/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.608509679,250758.442,1.04609562,TCC
10,NA,RO permeate,10/10/17,not applicable,bulkwater_grab,RO_3stage,AWTP_2,NA,0.627181487,142.41292,1.02552592,TCC
12,NA,RO permeate,11/14/17,not applicable,bulkwater_grab,RO_2stage,AWTP_2,NA,0.6854658,174.572301,1.08005466,TCC
13,NA,RO permeate,8/1/17,not applicable,bulkwater_grab,RO_2stage,AWTP_2,NA,0.247225361,177.111359,1.65543992,TCC
15,NA,RO permeate,11/14/17,not applicable,bulkwater_grab,RO_3stage,AWTP_2,NA,0.629416739,243.038171,1.55341432,TCC
16,NA,RO permeate,12/14/17,not applicable,bulkwater_grab,RO_2stage,AWTP_2,NA,0.610425764,267.65281,1.27985299,TCC
17,NA,RO permeate,9/21/17,not applicable,bulkwater_grab,RO_3stage,AWTP_2,NA,0.413193793,345.066536,1.05482155,TCC
18,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_6,DWDS_F,NA,1.087380374,349.698616,1.46316747,TCC
888,Phase 1,conventional feedwater,10/23/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.608509679,152588.939,1.05256051,ICC
20,NA,RO permeate,9/21/17,not applicable,bulkwater_grab,RO_2stage,AWTP_2,NA,0.366123239,459.489342,1.23077587,TCC
24,NA,"full-scale
distribution system
",2/7/18,not applicable,bulkwater_grab,site_18,DWDS_F,NA,0.223308579,529.997277,1.72742137,TCC
30,NA,RO permeate,9/14/17,not applicable,bulkwater_grab,RO_3stage,AWTP_2,NA,0.329307053,980.202876,1.07508917,TCC
33,NA,"full-scale
distribution system
",2/7/18,not applicable,bulkwater_grab,site_19,DWDS_F,NA,0.273212545,1183.52135,1.14192573,TCC
914,Phase 1,advanced feedwater,10/23/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.928315063,226480.622,1.12596007,ICC
35,NA,"full-scale
distribution system
",2/7/18,not applicable,bulkwater_grab,site_20,DWDS_F,NA,0.306403182,1339.83347,1.06285828,TCC
37,NA,"full-scale
distribution system
",3/1/18,not applicable,bulkwater_grab,site_10,DWDS_F,NA,0.651943756,1612.26319,1.03490344,TCC
39,NA,RO permeate,9/14/17,not applicable,bulkwater_grab,RO_2stage,AWTP_2,NA,0.595812378,1847.58983,1.0452659,TCC
41,NA,RO permeate,9/26/17,not applicable,bulkwater_grab,RO_2stage,AWTP_2,NA,0.568669094,1900.13595,1.00621695,TCC
43,NA,"full-scale
distribution system
",3/22/18,not applicable,bulkwater_grab,site_10,DWDS_F,NA,0.464752496,2076.70202,1.43002245,TCC
44,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_8,DWDS_F,NA,0.712804322,2179.90223,1.38516867,TCC
45,NA,"full-scale
distribution system
",2/7/18,not applicable,bulkwater_grab,site_5,DWDS_F,NA,0.353585283,2185.9951,1.04217219,TCC
77,Phase 1,transition loops (Phase 1),11/2/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.269937494,5507.83876,1.06889144,TCC
47,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_12,DWDS_F,NA,0.88122163,2353.79035,1.03725639,TCC
49,NA,"full-scale
distribution system
",4/19/18,not applicable,bulkwater_grab,site_24,DWDS_F,NA,0.394750487,2471.81447,1.22115016,TCC
107,Phase 1,conventional control loop,11/2/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.29316839,11305.2086,1.02618044,TCC
52,NA,RO permeate,9/26/17,not applicable,bulkwater_grab,RO_3stage,AWTP_2,NA,0.836765774,2681.66689,1.01925597,TCC
119,Phase 1,transition loops (Phase 1),11/2/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.293882404,13912.6782,1.03939202,TCC
54,NA,"full-scale
distribution system
",2/7/18,not applicable,bulkwater_grab,site_22,DWDS_F,NA,0.18046573,2718.89963,1.14076566,TCC
55,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_10,DWDS_F,NA,0.792627535,2739.24106,1.05593194,TCC
